subject,n_channels,duration_min,snr_db_median,snr_db_min,flat_channels,clipping_channels,peak_uv_max,pass,interp
PN00,29,35.2,53.74,46.85,0,0,1288.9,True,none
PN00,29,36.2,53.09,43.52,0,0,642.6,True,none
PN00,29,41.8,49.81,44.72,0,0,903.8,True,mne_spline
PN00,29,33.0,53.42,43.8,0,0,1544.6,True,none
PN00,29,31.2,53.8,44.28,0,0,385.1,True,none
PN01,29,51.9,57.83,52.83,0,0,758.0,True,none
PN01,29,52.2,55.84,50.18,0,0,1249.7,True,mne_spline
PN01,29,30.0,54.03,48.01,0,0,524.4,True,mne_spline
PN01,29,10.0,54.83,50.74,0,0,532.6,True,mne_spline
PN03,29,52.9,53.18,45.36,0,0,5082.1,True,mne_spline
PN03,29,30.0,45.84,41.38,0,0,2941.9,True,mne_spline
PN03,29,10.0,49.36,42.58,0,0,1702.2,True,mne_spline
PN03,29,53.2,53.25,45.82,0,0,5154.0,True,mne_spline
PN03,29,30.0,50.12,41.24,0,0,3346.1,True,mne_spline
PN03,29,10.0,52.1,44.15,0,0,621.6,True,mne_spline
